id,name,country_id,offset,offset_minutes,timezone_code
164,America/Mazatlan,142,-07:00,-420,MST
165,America/Mendoza,10,-03:00,-180,ART
166,America/Menominee,231,-05:00,-300,CDT
167,America/Merida,142,-06:00,-360,CST
168,America/Metlakatla,231,-08:00,-480,AKDT
169,America/Mexico_City,142,-06:00,-360,CST
170,America/Miquelon,186,-02:00,-120,PMST
171,America/Moncton,38,-03:00,-180,ADT
172,America/Monterrey,142,-06:00,-360,CST
173,America/Montevideo,233,-03:00,-180,UYT
174,America/Montreal,38,-04:00,-240,EDT
175,America/Montserrat,147,-04:00,-240,AST
176,America/Nassau,16,-04:00,-240,EDT
177,America/New_York,231,-04:00,-240,EDT
178,America/Nipigon,38,-04:00,-240,EDT
179,America/Nome,231,-08:00,-480,AKDT
180,America/Noronha,30,-02:00,-120,FNT
181,America/North_Dakota/Beulah,231,-05:00,-300,CDT
182,America/North_Dakota/Center,231,-05:00,-300,CDT
183,America/North_Dakota/New_Salem,231,-05:00,-300,CDT
184,America/Ojinaga,231,-05:00,-300,CDT
185,America/Panama,169,-05:00,-300,EST
186,America/Pangnirtung,38,-04:00,-240,EDT
187,America/Paramaribo,208,-03:00,-180,SRT
188,America/Phoenix,231,-07:00,-420,MST
189,America/Port-au-Prince,95,-04:00,-240,EDT
190,America/Port_of_Spain,221,-04:00,-240,AST
191,America/Porto_Acre,30,-05:00,-300,AMT
192,America/Porto_Velho,30,-04:00,-240,AMT
193,America/Puerto_Rico,177,-04:00,-240,AST
194,America/Punta_Arenas,43,-03:00,-180,CLT
195,America/Rainy_River,38,-05:00,-300,CDT
196,America/Rankin_Inlet,38,-05:00,-300,CDT
197,America/Recife,30,-03:00,-180,BRT
198,America/Regina,38,-06:00,-360,CST
199,America/Resolute,38,-05:00,-300,CDT
200,America/Rio_Branco,30,-05:00,-300,AMT
201,America/Rosario,10,-03:00,-180,ART
202,America/Santa_Isabel,142,-07:00,-420,PDT
203,America/Santarem,30,-03:00,-180,BRT
204,America/Santiago,43,-03:00,-180,CLST
205,America/Santo_Domingo,61,-04:00,-240,AST
206,America/Sao_Paulo,30,-03:00,-180,BRT
207,America/Scoresbysund,86,+00:00,+0,EGST
208,America/Shiprock,231,-06:00,-360,MDT
209,America/Sitka,231,-08:00,-480,AKDT
210,America/St_Barthelemy,247,-04:00,-240,AST
211,America/St_Johns,9,-02:30,-150,NDT
212,America/St_Kitts,184,-04:00,-240,AST
213,America/St_Lucia,185,-04:00,-240,AST
214,America/St_Thomas,240,-04:00,-240,AST
215,America/St_Vincent,187,-04:00,-240,AST
216,America/Swift_Current,38,-06:00,-360,CST
217,America/Tegucigalpa,97,-06:00,-360,CST
218,America/Thule,231,-03:00,-180,ADT
219,America/Thunder_Bay,38,-04:00,-240,EDT
220,America/Tijuana,142,-07:00,-420,PDT
221,America/Toronto,38,-04:00,-240,EDT
222,America/Tortola,240,-04:00,-240,AST
223,America/Vancouver,38,-07:00,-420,PDT
224,America/Virgin,240,-04:00,-240,AST
225,America/Whitehorse,38,-07:00,-420,MST
226,America/Winnipeg,38,-05:00,-300,CDT
227,America/Yakutat,231,-08:00,-480,AKDT
228,America/Yellowknife,38,-06:00,-360,MDT
229,Antarctica/Casey,8,+11:00,+660,CAST
230,Antarctica/Davis,8,+07:00,+420,DAVT
231,Antarctica/DumontDUrville,8,+00:00,+0,
232,Antarctica/Macquarie,8,+10:00,+600,AEST
233,Antarctica/Mawson,8,+05:00,+300,MAWT
234,Antarctica/McMurdo,8,+12:00,+720,NZST
235,Antarctica/Palmer,8,-03:00,-180,CLST
236,Antarctica/Rothera,8,-03:00,-180,ROTT
237,Antarctica/South_Pole,8,+12:00,+720,NZST
238,Antarctica/Syowa,8,+03:00,+180,SYOT
239,Antarctica/Troll,8,+02:00,+120,TROLLT
240,Antarctica/Vostok,8,+06:00,+360,VOST
241,Arctic/Longyearbyen,209,+02:00,+120,CEST
242,Asia/Aden,243,+03:00,+180,AST
243,Asia/Almaty,112,+06:00,+360,ALMT
244,Asia/Amman,111,+03:00,+180,ADT
245,Asia/Anadyr,181,+12:00,+720,ANAT
246,Asia/Aqtau,112,+05:00,+300,AQTT
247,Asia/Aqtobe,112,+05:00,+300,AQTT
248,Asia/Ashgabat,224,+05:00,+300,TMT
249,Asia/Ashkhabad,224,+05:00,+300,TMT
250,Asia/Atyrau,112,+05:00,+300,ATYT
251,Asia/Baghdad,104,+03:00,+180,AST
252,Asia/Bahrain,17,+03:00,+180,AST
253,Asia/Baku,15,+04:00,+240,AZT
254,Asia/Bangkok,217,+07:00,+420,ICT
255,Asia/Barnaul,181,+07:00,+420,KRAT
256,Asia/Beirut,121,+03:00,+180,EEST
257,Asia/Bishkek,118,+06:00,+360,KGT
258,Asia/Brunei,32,+08:00,+480,BNT
259,Asia/Calcutta,101,+05:30,+330,IST
260,Asia/Chita,181,+09:00,+540,IRKT
261,Asia/Choibalsan,146,+08:00,+480,CHOT
262,Asia/Chongqing,44,+08:00,+480,CST
263,Asia/Chungking,44,+08:00,+480,CST
264,Asia/Colombo,206,+05:30,+330,IST
265,Asia/Dacca,18,+06:00,+360,BST
266,Asia/Damascus,213,+03:00,+180,EET
267,Asia/Dhaka,18,+06:00,+360,BST
268,Asia/Dili,62,+09:00,+540,TLST
269,Asia/Dubai,229,+04:00,+240,GST
270,Asia/Dushanbe,215,+05:00,+300,TJT
271,Asia/Famagusta,56,+03:00,+180,EEST
272,Asia/Gaza,168,+03:00,+180,EEST
273,Asia/Harbin,44,+08:00,+480,CST
274,Asia/Hebron,168,+03:00,+180,EEST
275,Asia/Ho_Chi_Minh,238,+07:00,+420,ICT
276,Asia/Hong_Kong,98,+08:00,+480,HKT
277,Asia/Hovd,146,+07:00,+420,HOVT
278,Asia/Irkutsk,181,+08:00,+480,IRKT
279,Asia/Istanbul,223,+03:00,+180,TRT
280,Asia/Jakarta,102,+07:00,+420,WIB
281,Asia/Jayapura,102,+09:00,+540,WIT
282,Asia/Jerusalem,106,+03:00,+180,IDT
283,Asia/Kabul,1,+04:30,+270,AFT
284,Asia/Kamchatka,181,+12:00,+720,PETT
285,Asia/Karachi,166,+05:00,+300,PKT
286,Asia/Kashgar,44,+06:00,+360,CST
287,Asia/Kathmandu,153,+05:45,+345,NPT
288,Asia/Katmandu,153,+05:45,+345,NPT
289,Asia/Khandyga,181,+09:00,+540,VYAKT
290,Asia/Kolkata,101,+05:30,+330,IST
291,Asia/Krasnoyarsk,181,+07:00,+420,KRAT
292,Asia/Kuala_Lumpur,132,+08:00,+480,MYT
293,Asia/Kuching,132,+08:00,+480,MYT
294,Asia/Kuwait,117,+03:00,+180,AST
295,Asia/Macao,128,+08:00,+480,CST
296,Asia/Macau,128,+08:00,+480,CST
297,Asia/Magadan,181,+11:00,+660,MAGT
298,Asia/Makassar,102,+08:00,+480,WITA
299,Asia/Manila,173,+08:00,+480,PST
300,Asia/Muscat,165,+04:00,+240,GST
301,Asia/Nicosia,56,+03:00,+180,EEST
302,Asia/Novokuznetsk,181,+07:00,+420,KRAT
303,Asia/Novosibirsk,181,+07:00,+420,NOVT
304,Asia/Omsk,181,+06:00,+360,OMST
305,Asia/Oral,112,+05:00,+300,ORAT
306,Asia/Phnom_Penh,36,+07:00,+420,ICT
307,Asia/Pontianak,102,+07:00,+420,WIB
308,Asia/Pyongyang,115,+09:00,+540,KST
309,Asia/Qatar,178,+03:00,+180,AST
310,Asia/Qostanay,112,+06:00,+360,QYZT
311,Asia/Qyzylorda,112,+05:00,+300,QYZT
312,Asia/Rangoon,150,+06:30,+390,MMT
313,Asia/Riyadh,191,+03:00,+180,AST
314,Asia/Saigon,238,+07:00,+420,ICT
315,Asia/Sakhalin,181,+11:00,+660,SAKT
316,Asia/Samarkand,234,+05:00,+300,UZT
317,Asia/Seoul,116,+09:00,+540,KST
318,Asia/Shanghai,44,+08:00,+480,CST
319,Asia/Singapore,196,+08:00,+480,SGT
320,Asia/Srednekolymsk,181,+11:00,+660,SRET
321,Asia/Taipei,214,+08:00,+480,CST
322,Asia/Tashkent,234,+05:00,+300,UZT
323,Asia/Tbilisi,81,+04:00,+240,GET
324,Asia/Tehran,103,+03:30,+210,IRST
325,Asia/Tel_Aviv,106,+03:00,+180,IDT
326,Asia/Thimbu,25,+06:00,+360,BTT
327,Asia/Thimphu,25,+06:00,+360,BTT
328,Asia/Tokyo,109,+09:00,+540,JST
329,Asia/Tomsk,181,+07:00,+420,7
330,Asia/Ujung_Pandang,102,+08:00,+480,WITA
331,Asia/Ulaanbaatar,146,+08:00,+480,ULAT
332,Asia/Ulan_Bator,146,+08:00,+480,ULAT
333,Asia/Urumqi,44,+06:00,+360,XJT
334,Asia/Ust-Nera,181,+10:00,+600,VLAT
335,Asia/Vientiane,119,+07:00,+420,ICT
336,Asia/Vladivostok,181,+10:00,+600,VLAT
337,Asia/Yakutsk,181,+09:00,+540,YAKT
338,Asia/Yangon,150,+06:30,+390,MMT
339,Asia/Yekaterinburg,181,+05:00,+300,YEKT
340,Asia/Yerevan,11,+04:00,+240,AMT
341,Atlantic/Azores,176,+00:00,+0,AZOT
342,Atlantic/Bermuda,24,-03:00,-180,ADT
343,Atlantic/Canary,205,+01:00,+60,WEST
344,Atlantic/Cape_Verde,39,-01:00,-60,CVT
345,Atlantic/Faeroe,72,+01:00,+60,WEST
346,Atlantic/Faroe,72,+01:00,+60,WEST
347,Atlantic/Jan_Mayen,209,+02:00,+120,CEST
348,Atlantic/Madeira,176,+01:00,+60,WEST
349,Atlantic/Reykjavik,100,+00:00,+0,GMT
350,Atlantic/South_Georgia,203,-02:00,-120,GST
351,Atlantic/St_Helena,183,+00:00,+0,GMT
352,Atlantic/Stanley,71,-03:00,-180,FKST
353,Australia/ACT,13,+10:00,+600,AEST
354,Australia/Adelaide,13,+09:30,+570,ACST
